epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1999,1.84427,5.00019,1.85012,0,0,0,0,1.82819,5.6221,2.43094,2.78e-05,2.78e-05,2.78e-05
2,62.2361,1.98866,5.08691,1.87603,0,0,0,0,1.72334,5.58968,2.35613,6.05545e-05,6.05545e-05,6.05545e-05
3,93.7428,1.76757,4.78065,1.72599,0,0,0,0,1.71805,5.34277,2.22486,9.26485e-05,9.26485e-05,9.26485e-05
4,124.424,1.72229,4.6287,1.68186,0,0,0,0,1.64868,5.35651,2.10689,0.000124082,0.000124082,0.000124082
5,155.21,1.6048,4.40552,1.53879,0.01759,0.25,0.0282,0.01803,1.5838,5.49446,2.00803,0.000154855,0.000154855,0.000154855
6,186.124,1.60673,4.27314,1.51677,0.01143,0.375,0.04931,0.02204,1.72723,5.50606,1.99536,0.000184967,0.000184967,0.000184967
7,216.804,1.47038,3.7035,1.40195,0.01034,0.5,0.15441,0.04216,1.74015,5.84348,2.2046,0.000214419,0.000214419,0.000214419
8,247.602,1.49051,3.33717,1.41678,0.00908,0.5,0.13874,0.06957,1.81307,5.5891,2.28643,0.000243211,0.000243211,0.000243211
9,278.373,1.49097,3.23676,1.39901,0.00399,0.5,0.20276,0.0616,1.83732,5.73913,2.37208,0.000271341,0.000271341,0.000271341
10,309.947,1.41752,2.73926,1.35464,0.00278,0.5,0.19991,0.09838,1.81108,5.67767,2.26546,0.000298812,0.000298812,0.000298812
11,341.333,1.42089,3.16112,1.37377,0.00262,0.5,0.17274,0.05992,1.7182,5.87257,2.22656,0.000325621,0.000325621,0.000325621
12,372.892,1.25189,2.68422,1.29144,0.00145,0.375,0.1297,0.08859,1.95324,5.82942,2.53784,0.000351771,0.000351771,0.000351771
13,404.183,1.28344,2.59144,1.30058,0.00242,0.5,0.19044,0.08195,2.07603,5.74608,2.53982,0.000377259,0.000377259,0.000377259
